Round Robin Algorithm

Time Quantum: 15 ms
Process	Burst Time	Arrival Time
14	17		0
3	73		1
5	70		2
12	60		3
6	53		4
18	47		5
8	65		6
7	96		7
15	97		8
16	5		9
19	29		10
17	5		11
10	84		12
1	21		13
2	46		14
4	80		15
11	46		16
9	86		17
13	30		18
0	22		19
14	17		0
3	73		1
5	70		2
12	60		3
6	53		4
18	47		5
8	65		6
7	96		7
15	97		8
19	29		10
10	84		12
1	21		13
2	46		14
4	80		15
11	46		16
9	86		17
13	30		18
0	22		19
3	73		1
5	70		2
12	60		3
6	53		4
18	47		5
8	65		6
7	96		7
15	97		8
10	84		12
2	46		14
4	80		15
11	46		16
9	86		17
3	73		1
5	70		2
12	60		3
6	53		4
18	47		5
8	65		6
7	96		7
15	97		8
10	84		12
2	46		14
4	80		15
11	46		16
9	86		17
3	73		1
5	70		2
8	65		6
7	96		7
15	97		8
10	84		12
4	80		15
9	86		17
7	96		7
15	97		8
10	84		12
4	80		15
9	86		17
7	96		7
15	97		8

Average wait time: 51.25ms
